博物馆信息统计(找不到内容的填NULL)								
Num(用于标识，留空)	M_Cname(中文名）	M_Ename(英文名)	M_Batch(批次）	Province(所属省份)	M_Address(地址)	M_web(官网）	微信公众号	备注
70201	吉林省博物院	Jilin Provincal Museum	2	吉林	吉林省长春市净月国家高新技术产业开发区永顺路1666号	http://www.jlmuseum.org/		
70301	伪满皇宫博物院	Palace Museum of The Manchurian Regime	3	吉林	吉林省长春市陕西路与光复北路交汇向东100米	https://www.wmhg.com.cn/index.html		
80101	东北烈士纪念馆	NULL	1	黑龙江	哈尔滨市南岗区一曼街241号	http://www.jn1948.cn/index.php?g=Portal&m=Party&a=index	东北烈士纪念馆：gh_a95b66f959c4	首页网站升级中（没说什么时候好）编办备案馆和内设馆有东北抗联博物馆/中共黑龙江历史纪念馆/伪满洲国哈尔滨警察厅旧址陈列馆
80102	铁人王进喜纪念馆	NULL	1	黑龙江	黑龙江省大庆市让胡路区中原路2号	NULL	铁人王进喜纪念馆：wjxjng	资料来源百度，未找到官网
80103	瑷珲历史陈列馆	Aihui History Museum	1	黑龙江	黑龙江省黑河市瑷珲镇萨布素街	http://www.aihuihistorymuseum.org.cn/index.aspx		
80204	黑龙江省博物馆	Museum of Heilongjiang Province	2	黑龙江	哈尔滨市南岗区红军街64号	http://www.hljmuseum.com/	黑龙江省博物馆互动平台：hljsbwghdpt	
80305	大庆市博物馆	NULL	3	黑龙江	大庆市高新开发区文苑街2号	http://www.dqsbwg.com/	大庆市博物馆：dqsbwg	有微信公众号查的官网，打不开
80406	黑龙江省民族博物馆	NULL	4	黑龙江	黑龙江哈尔滨市文庙街25号	http://www.hljsmzbwg.com/		
90101	上海博物馆	Shanghai Museum	1	上海	上海市黄浦区人民大道201号	https://www.shanghaimuseum.net/mu/frontend/pg/index		
90102	上海鲁迅纪念馆	Shanghai Lu Xun  Museum/Shanghai LuXun Museum	1	上海	上海市虹口区甜爱路200号甜爱路200号鲁迅公园内	http://www.luxunmuseum.cn/		
90103	中国共产党第一次全国代表大会会址纪念馆	Site of the first National Congress of the Communist Party of China	1	上海	上海市黄浦区黄陂南路374号	http://www.zgyd1921.com/zgyd/node3/index.html		
90204	上海科技馆	Shanghai Science & Technology Museum	2	上海	中国上海市浦东新区世纪大道2000号	http://www.sstm.org.cn/		
90305	陈云纪念馆	Shen Yun Memorial	3	上海	上海市青浦区练塘镇老朱枫公路3516号	http://www.cyjng.net/		
90406	中国航海博物馆	China Maritime Museum	4	上海	上海市浦东新区临港新城申港大道197号（近滴水湖）	https://www.shmmc.com.cn/		
90407	上海市龙华烈士陵园/龙华烈士纪念馆	Longhua Martyr Cemetery of Shanghai	4	上海	上海市龙华西路180号	https://www.slmmm.com/		
100101	南京博物院	Nanjing Museum	1	江苏	江苏省南京市玄武区中山东路321号	http://www.njmuseum.com/zh		
100102	侵华日军南京大屠杀遇难同胞纪念馆	The Memorial Hall of the Victims in Nanjing Massacre by Japanese Invaders	1	江苏	南京市水西门大街418号	http://www.19371213.com.cn/		
100103	南通博物苑	Nantong Museum	1	江苏	南通市濠南路19号	http://www.ntmuseum.com/		
100104	苏州博物馆	Suzhou Museum	1	江苏	苏州市东北街204号	https://www.szmuseum.com/		
100105	扬州博物馆/扬州中国雕版印刷博物馆	China Block Printing Museum at Yangzhou  · Yangzhou Museum	1	江苏	扬州市邗江区文昌西路468号（明月湖西侧）	https://www.yzmuseum.com/		
100306	常州博物馆	Changzhou Museum	3	江苏	常州市新北区龙城大道1288号	http://www.czmuseum.com/index		
100307	南京市博物总馆	Nanjing Museum Administration	3	江苏	南京市博物馆·朝天宫：南京市秦淮区朝天宫4号(http://www.njmm.cn)/太平天国历史博物馆：南京市秦淮区瞻园路128号(http://www.tptgmuseum.com/)/中共代表团梅园新村纪念馆：南京市玄武区汉府街18号-1/南京市民俗（非遗）博物馆：南京市秦淮区南捕厅15号/渡江胜利纪念馆：南京市鼓楼区渡江路1号/江宁织造博物馆：南京市玄武区长江路123号/六朝博物馆：南京市玄武区长江路302号(http://liuchao.njmuseumadmin.com)/南京市文化遗产保护研究所：南京市秦淮区朝天宫4号	http://www.njmuseumadmin.com/		南京市博物馆总馆汇聚南京市博物馆、太平天国历史博物馆、中国共产党代表团梅园新村纪念馆、南京市民俗博物馆、渡江胜利纪念馆、江宁织造博物馆、六朝博物馆、南京市文化遗产保护研究所8家市属文博馆所，部分博物子馆有官网
100408	南京中国科举博物馆	Nanjing Imperial Examination Museum of China	4	江苏	南京市秦淮区金陵路1号	http://www.njiemuseum.com/		
100409	南京雨花台烈士纪念馆/南京雨花台烈士陵园	Yuhuatai Scenic Area 	4	江苏	中国南京雨花台区雨花路215号	http://hsb.travel-yuhuatai.com/		
100410	无锡博物院	Wuxi Museum	4	江苏	江苏无锡南长区钟书路100号	http://www.wxmuseum.com/Home/Index		
100411	徐州博物馆/徐州市文物考古研究所	Xuzhou Museum/The Institute of Cultural Relics and Archaeology	4	江苏	江苏省徐州市和平路118号	https://www.xzmuseum.com/	徐州博物馆：xzmuseum	
100412	常熟博物馆	Changshu Museum	4	江苏	江苏省常熟市北门大街1号	http://changshubowuguan.meishujia.cn/	常熟博物馆：csmuseum	疑似主页
100413	镇江博物馆	Zhenjiang Museum	4	江苏	镇江市伯先路85号	http://www.zj-museum.com.cn/zjbwg/zjbwg/index.html		
110101	浙江省博物馆	Zhejiang Provincial Museum	1	浙江	浙江省 杭州市 孤山路25号	http://www.zhejiangmuseum.com/		
110202	浙江自然博物院	Zhejiang Museum of Natural History AnJi Branch	2	浙江	浙江省杭州市下城区朝晖街道西湖文化广场6号	http://www.zmnh.com/		
110203	中国丝绸博物馆	China National Silk Museum	2	浙江	浙江省杭州市西湖区玉皇山路73-1号	http://www.chinasilkmuseum.com/		
110204	宁波博物馆	Ningbo Museum	2	浙江	宁波市鄞州区首南中路1000号	http://www.nbmuseum.cn/		
110305	杭州博物馆	Hangzhou Museum	3	浙江	浙江省杭州市上城区粮道山18号	http://www.hzmuseum.com/		
110306	温州博物馆	Wenzhou Museum	3	浙江	浙江省温州市鹿城区市府路491号	http://www.wzmuseum.cn/		
110407	西湖博物馆总馆	West Lake Museum	4	浙江	浙江省杭州市南山路89号	http://www.westlakemuseum.com/		
110408	中国茶叶博物馆	China National Tea Museum	4	浙江	双峰馆区：龙井路88号/龙井馆区：翁家山268号	http://www.teamuseum.cn/		有两个馆区
110409	杭州工艺美术博物馆	Hangzhou Arts and Crafts Museum	4	浙江	杭州工艺美术博物馆：杭州市拱墅区小河路334号/中国刀剪剑、伞博物馆：杭州市拱墅区小河路336号/中国扇博物馆：杭州市拱墅区小河路450号	http://www.zgdjss.com/#!/app/index		分为三个馆区
110410	天一阁博物院	Tianyige Museum	4	浙江	宁波市海曙区天一街10号	http://www.tianyige.com.cn/		
110411	中国港口博物馆	China Port Museum	4	浙江	浙江省宁波市北仑区春晓港博路6号	http://www.portmuseum.cn/		
110412	南湖革命纪念馆	Nanhu Revolutionary Memorial Hall	4	浙江	浙江嘉兴市南湖区烟雨路七一广场	http://www.nanhujng.com/		
110413	舟山博物馆	Zhoushan Museum	4	浙江	新城海天大道内侧舟山海洋文化艺术中心	https://www.zsbwg.com/#/		
120101	安徽博物院	Anhui Museum	1	安徽	老馆：合肥市安庆路268号/新馆：合肥市怀宁路87号	https://www.ahm.cn/Home/Index		
120302	中国徽州文化博物馆	China Huizhou Culture Museum	3	安徽	安徽省黄山市机场迎宾大道50号	http://www.hzwhbwg.com/		
