博物馆信息统计(找不到内容的填NULL)								
Num(用于标识，留空)	M_Cname(中文名）	M_Ename(英文名)	M_Batch(批次）	Province(所属省份)	M_Address(地址)	M_web(官网）	微信公众号	备注
230402	四川省建川博物馆	Sichuan Museum of Jianchuan	4	四川	四川省成都市大邑县安仁镇	https://www.jc-museum.cn/	jc-museum	官网名称叫建川博物馆聚落(Museum Cluster Jianchuan)，包含四川建川博物馆、重庆建川博物馆、5·12抗震救灾纪念馆
230403	5·12汶川特大地震纪念馆	5·12 Wenchuan Earthquake Memorial Museum	4	四川	四川北川羌族自治县曲山镇任家坪	NULL	jng512	
230404	朱德同志故居纪念馆	NULL	4	四川	四川省仪陇县马鞍镇大湾路47号	NULL	NULL	
240101	遵义会议纪念馆	NULL	1	贵州	贵州省遵义市红花岗区子尹路96号	http://www.zunyihy.cn/		
240401	贵州省博物馆	Guizhou Provincial Museum	4	贵州	贵州省贵阳市观山湖区林城东路107号	NULL	gzsbwg	
240402	贵州省民族博物馆	Guizhou Nationalities Museum	4	贵州	贵阳市迎宾大道遵义路筑城广场	NULL	gzsmzbowuguan	
240403	四渡赤水纪念馆	NULL	4	贵州	贵州省遵义市习水县土城镇长征街	NULL	sdcsjing	
250101	云南省博物馆	Yunnan Provincial Museum	1	云南	云南省昆明市广福路6393号	http://ynmuseum.org/index.html		
250102	云南民族博物馆	Yunnan Nationalities Museum	1	云南	云南省昆明市西山区滇池路1503号	http://ynnmuseum.cn/		
220101	重庆中国三峡博物馆	Chongqing China Three Gorges Museum	1	重庆	重庆市渝中区人民路236号	NULL	china3gmuseum	
220201	重庆红岩革命历史博物馆	NULL	2	重庆	重庆市渝中区红岩村52号	NULL	hongyanlianxian	微信公众号账号主体是事业单位重庆红岩联线文化发展管理中心（重庆红岩革命历史博物馆）
220301	重庆自然博物馆	Chongqing Museum of Natural History	3	重庆	重庆北碚区金华路398号	NULL	zrg_cq	
220401	重庆三峡移民纪念馆	Chongqing Three Gorges Migration Memorial	4	重庆	重庆市万州区南滨路1469号	http://www.cqsxymjng.cn/		
220402	大足石刻博物馆	NULL	4	重庆	重庆市	http://www.dzshike.com/dazu//html/1/		大足石刻研究院应该是最大的，其下是大足石刻博物馆，大足石刻艺术博物馆等
260101	西藏博物馆	Tibet Museum	1	西藏	拉萨市罗布林卡东南角	NULL	gh_76505d96be4c	
270101	陕西历史博物馆	Shaanxi History Museum	1	陕西	中国 · 陕西 · 西安市小寨东路91号	http://www.sxhm.com/		
270102	秦始皇兵马俑博物馆	Emperor Qinshihuangs Mausoleum Site Museum	1	陕西	陕西省西安市临潼区	http://www.bmy.com.cn/	gh_0f2092812c2b/bmy1979	是秦始皇帝陵博物院的一个组成部分. 前微信号是主体是个人，2017年8月27日由“韩向阳”改名“秦始皇兵马俑博物馆”。后微信号主体是秦始皇帝陵博物院（秦始皇兵马俑博物馆）..
270103	延安革命纪念馆	NULL	1	陕西	陕西省延安市宝塔区延河东岸	NULL	yagmjng	
270104	汉阳陵博物馆	Han Yangling Museum	1	陕西	西安咸阳国际机场专线公路东段	http://www.hylae.com/		
270105	西安碑林博物馆	Xian Beilin Museum	1	陕西	陕西省西安市碑林区三学街15号	http://www.beilin-museum.com/		
270106	西安半坡博物馆	Xian Banpo Museum	1	陕西	西安市东郊半坡路155号	https://www.bpmuseum.com/		
270201	西安博物院	Xian Museum	2	陕西	西安市友谊西路72号	https://www.xabwy.com/index.html		
270301	宝鸡青铜器博物院	Baoji Bronze Ware Museum	3	陕西	陕西省宝鸡市滨河大道东段中华石鼓园内	http://bjqtm.com/		
270302	西安大唐西市博物馆	Tang West Market Museum	3	陕西	陕西省西安市莲湖区劳动南路118号	http://www.dtxsmuseum.com/		
280101	甘肃省博物馆	Gansu Provincial Museum	1	甘肃	甘肃省兰州市七里河区西津西路3号	http://www.gansumuseum.com/		
280301	天水市博物馆	Tianshui Museum	3	甘肃	甘肃省天水市秦州区伏羲路110号 	http://tssbwg.com.cn/		
280302	敦煌研究院	Dunhuang Academy China	3	甘肃	甘肃省酒泉市敦煌市	http://en.dha.ac.cn/index.html	icaves	官网迷惑
280401	平凉市博物馆	Pingliang Museum	4	甘肃	平凉市龙隐寺公园内	http://www.plsbwg.com/		
300101	固原博物馆	the Guyuan Museum of Ningxia	1	宁夏	宁夏固原市原州区西城路133号	http://nxgybwg.com/		
300201	宁夏博物馆	Ningxia Museum	2	宁夏	宁夏回族自治区银川市金凤区人民广场东街	http://www.nxbwg.com/		
290301	青海省博物馆	Qing Hai Province Museum	3	青海	青海省西宁市城西区西关大街58号	http://www.qhmuseum.cn/#/	wxid-vhksz784r1er22	官网卡死
290401	中国藏医药文化博物馆	Tibetan Medicine Museum of China	4	青海	青海省西宁市生物园区经二路36号	NULL	qhzwhbwy	微信名：青海藏文化博物院，账号主体：青海藏医药文化博物馆
310101	新疆维吾尔自治区博物馆	NULL	1	新疆	乌鲁木齐市沙依巴克区西北路581号	NULL	xinjiangmuseum	
310301	吐鲁番博物馆	Turfan museum	3	新疆	吐鲁番市高昌区木纳尔路1268号	NULL	turfanmuseum	
